            ; parameter;   s.e._sa;r.s.e._sa;pvalues_sa;  s.e._lin;r.s.e._lin;pvalues_lin
      ka_pop;   1.51987;   0.30168;    19.85;       NaN;   0.30254;     19.91;        NaN
       V_pop;   0.46585;   0.01916;     4.11;       NaN;   0.01899;      4.08;        NaN
 beta_V_lw70;  -0.46839;   0.29552;    63.09;   0.11298;   0.30401;     64.91;    0.12339
      Cl_pop;   0.03948;   0.00287;     7.28;       NaN;   0.00287;      7.28;        NaN
beta_Cl_lw70;  -0.68938;   0.54956;    79.72;   0.20969;   0.55115;     79.95;    0.21101
    omega_ka;   0.65003;   0.15164;    23.33;       NaN;   0.14591;     22.45;        NaN
     omega_V;   0.10618;   0.03764;    35.45;       NaN;   0.03773;     35.53;        NaN
    omega_Cl;   0.24059;   0.05547;    23.06;       NaN;   0.05314;     22.09;        NaN
           b;   0.15849;   0.01241;     7.83;       NaN;   0.01218;      7.68;        NaN
