         ; parameter;   s.e._sa;r.s.e._sa;pvalues_sa;  s.e._lin;r.s.e._lin;pvalues_lin
   ka_pop;   1.50000;   0.00000;     0.00;       NaN;   0.00000;      0.00;        NaN
    V_pop;   0.45983;   0.02127;     4.62;       NaN;   0.02106;      4.58;        NaN
   Cl_pop;   0.03984;   0.00342;     8.59;       NaN;   0.00340;      8.54;        NaN
 omega_ka;   0.63883;   0.14937;    23.38;       NaN;   0.14583;     22.83;        NaN
  omega_V;   0.13202;   0.03542;    26.83;       NaN;   0.03805;     28.82;        NaN
 omega_Cl;   0.26916;   0.06854;    25.46;       NaN;   0.06526;     24.25;        NaN
corr_ka_V;  -0.17795;   0.35176;   197.67;       NaN;   0.36765;    206.60;        NaN
        a;   0.73084;   0.05465;     7.48;       NaN;   0.05610;      7.68;        NaN
