rep,id,group,time,y1
1,1,1,5,5.02604
1,1,1,10,2.37896
1,1,1,15,7.45674
1,1,1,20,3.68709
1,1,1,25,11.31325
1,1,1,30,5.45134
1,1,1,35,2.65743
1,1,1,40,6.99583
1,1,1,45,3.65546
1,1,1,50,8.83942
1,2,1,5,5.37071
1,2,1,10,3.07596
1,2,1,15,8.95498
1,2,1,20,4.30125
1,2,1,25,11.76598
1,2,1,30,5.78717
1,2,1,35,3.77092
1,2,1,40,8.66394
1,2,1,45,5.02043
1,2,1,50,9.63133
1,3,1,5,6.2923
1,3,1,10,3.15663
1,3,1,15,12.39515
1,3,1,20,5.49716
1,3,1,25,13.03227
1,3,1,30,6.32584
1,3,1,35,3.87211
1,3,1,40,8.69547
1,3,1,45,5.43726
1,3,1,50,10.27067
1,4,1,5,7.76172
1,4,1,10,5.1098
1,4,1,15,10.42068
1,4,1,20,6.78015
1,4,1,25,14.18933
1,4,1,30,11.9345
1,4,1,35,6.14512
1,4,1,40,11.75044
1,4,1,45,6.78397
1,4,1,50,14.07692
1,5,1,5,5.84799
1,5,1,10,3.64448
1,5,1,15,10.84834
1,5,1,20,5.07438
1,5,1,25,11.97045
1,5,1,30,7.29387
1,5,1,35,4.3359
1,5,1,40,9.5025
1,5,1,45,5.98966
1,5,1,50,13.54939
1,6,2,5,3.95026
1,6,2,10,2.12147
1,6,2,15,5.03574
1,6,2,20,3.25803
1,6,2,25,5.99379
1,6,2,30,4.59811
1,6,2,35,2.74104
1,6,2,40,5.89642
1,6,2,45,3.70119
1,6,2,50,6.24354
1,7,2,5,2.62237
1,7,2,10,1.74342
1,7,2,15,4.30508
1,7,2,20,2.82123
1,7,2,25,5.6639
1,7,2,30,3.48664
1,7,2,35,1.89572
1,7,2,40,4.60914
1,7,2,45,2.83369
1,7,2,50,5.96819
1,8,2,5,2.70997
1,8,2,10,1.77033
1,8,2,15,5.20833
1,8,2,20,2.00989
1,8,2,25,6.04142
1,8,2,30,3.87885
1,8,2,35,1.71182
1,8,2,40,4.5121
1,8,2,45,2.69414
1,8,2,50,3.76128
2,1,1,5,7.41886
2,1,1,10,4.30235
2,1,1,15,11.21335
2,1,1,20,8.1348
2,1,1,25,14.50208
2,1,1,30,9.28648
2,1,1,35,5.67367
2,1,1,40,12.24822
2,1,1,45,7.65047
2,1,1,50,15.53921
2,2,1,5,6.69886
2,2,1,10,4.85605
2,2,1,15,11.00338
2,2,1,20,7.95243
2,2,1,25,15.66733
2,2,1,30,9.10373
2,2,1,35,6.80275
2,2,1,40,8.96565
2,2,1,45,8.15961
2,2,1,50,11.76969
2,3,1,5,5.08393
2,3,1,10,2.69801
2,3,1,15,7.82541
2,3,1,20,2.89086
2,3,1,25,10.5657
2,3,1,30,5.45599
2,3,1,35,2.30045
2,3,1,40,6.98115
2,3,1,45,4.14121
2,3,1,50,7.73291
2,4,1,5,4.44733
2,4,1,10,3.07828
2,4,1,15,7.79378
2,4,1,20,3.9378
2,4,1,25,9.35136
2,4,1,30,4.58068
2,4,1,35,2.92692
2,4,1,40,6.79012
2,4,1,45,3.46511
2,4,1,50,8.8533
2,5,1,5,7.10761
2,5,1,10,4.30842
2,5,1,15,10.70438
2,5,1,20,6.56509
2,5,1,25,13.33423
2,5,1,30,10.42876
2,5,1,35,6.52757
2,5,1,40,12.99955
2,5,1,45,7.57751
2,5,1,50,13.65355
2,6,2,5,2.84126
2,6,2,10,1.21487
2,6,2,15,4.04109
2,6,2,20,1.63459
2,6,2,25,6.31582
2,6,2,30,2.30078
2,6,2,35,1.16718
2,6,2,40,4.22977
2,6,2,45,1.63404
2,6,2,50,5.04339
2,7,2,5,4.03111
2,7,2,10,2.54565
2,7,2,15,6.09982
2,7,2,20,4.15516
2,7,2,25,7.35548
2,7,2,30,5.55076
2,7,2,35,3.17222
2,7,2,40,6.31492
2,7,2,45,2.97176
2,7,2,50,7.30132
2,8,2,5,2.81735
2,8,2,10,1.9972
2,8,2,15,5.82664
2,8,2,20,3.2133
2,8,2,25,7.04157
2,8,2,30,4.48527
2,8,2,35,3.17027
2,8,2,40,5.06111
2,8,2,45,3.04653
2,8,2,50,5.1417
3,1,1,5,5.28895
3,1,1,10,3.79551
3,1,1,15,9.06075
3,1,1,20,4.45793
3,1,1,25,10.91414
3,1,1,30,7.69471
3,1,1,35,3.48934
3,1,1,40,8.56464
3,1,1,45,4.72195
3,1,1,50,8.87551
3,2,1,5,7.3273
3,2,1,10,3.23717
3,2,1,15,7.96978
3,2,1,20,5.28529
3,2,1,25,11.80654
3,2,1,30,7.4735
3,2,1,35,3.56417
3,2,1,40,8.44139
