   ID	    ka_mode	   V_mode	   Cl_mode	   gamma_mode	   beta_mode	   ka_mean	   V_mean	   Cl_mean	   gamma_mean	   beta_mean	   ka_sd	   V_sd	   Cl_sd	   gamma_sd	   beta_sd	
   47	     1.6227	   9.0772	   0.13214	       1.1104	     0.51624	    1.8828	   9.1115	   0.12901	       1.1104	     0.51527	 0.56676	 0.7211	0.015588	          0	  0.070268	
   48	    0.54534	   7.9422	  0.096202	       1.1104	     0.53088	   0.57706	   7.8598	  0.095308	       1.1104	     0.51857	 0.14332	0.54227	0.010295	          0	  0.072074	
   49	    0.74943	   9.8859	   0.12209	       1.1104	     0.51935	   0.81576	   10.036	   0.11864	       1.1104	      0.5137	 0.20261	0.64832	0.012376	          0	  0.065754	
   50	    0.63947	    7.624	    0.1297	       1.1104	      0.4695	   0.70857	   7.6089	   0.13012	       1.1104	     0.46978	 0.19194	0.65605	0.010398	          0	  0.062794	
   51	     1.0533	   7.8945	   0.11446	       1.1104	     0.50419	    1.1399	   7.8315	   0.11452	       1.1104	     0.51532	 0.24805	0.62074	0.012136	          0	  0.072305	
   52	     0.6419	   8.8811	   0.11141	       1.1104	     0.47003	   0.66148	    8.867	   0.11001	       1.1104	     0.47537	  0.1668	0.69916	0.013369	          0	  0.065509	
   53	     1.3484	   7.0727	  0.099898	       1.1104	      0.5221	    1.4111	   6.9806	   0.09972	       1.1104	     0.51964	 0.33862	0.53548	0.010006	          0	  0.068694	
   54	     1.5874	   7.8236	   0.11374	       1.1104	     0.53368	    1.8634	   7.9391	   0.11099	       1.1104	     0.52825	 0.54759	0.55716	0.010468	          0	  0.062833	
   55	     1.4133	   6.9215	   0.16263	       1.1104	     0.51695	    1.6004	   7.0083	   0.15728	       1.1104	     0.51822	  0.4192	0.64622	0.015079	          0	   0.07419	
   56	     1.1645	   6.5835	    0.1012	       1.1104	     0.55172	    1.2976	   6.5453	   0.10126	       1.1104	     0.55343	 0.38918	0.56079	0.009097	          0	  0.076451	
   57	     1.1891	   7.2444	    0.1428	       1.1104	      0.5329	    1.3161	   7.2497	   0.14177	       1.1104	     0.52268	 0.37929	0.65172	0.014067	          0	  0.068588	
   58	     1.4918	   7.5979	  0.098927	       1.1104	     0.53855	    1.5844	   7.4197	  0.099504	       1.1104	     0.54893	 0.36278	0.60005	0.010614	          0	  0.072045	
   59	     1.6446	   14.891	   0.16006	       1.1104	     0.52545	     1.774	   14.958	   0.15866	       1.1104	     0.50938	 0.45548	 1.3172	0.024572	          0	  0.070492	
   60	     1.4192	   7.6508	   0.12205	       1.1104	     0.47434	    1.5868	   7.7895	   0.11941	       1.1104	     0.47235	  0.3806	0.64555	0.013755	          0	  0.069981	
